evidence_label,modality,representation,score,rule,subset,n_genuine,n_impostor,threshold,TP,FN,FP,TN,FAR,FRR,TAR,accuracy,precision,recall,F1,subset_EER,subset_EER_threshold
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.89,97,4426,0,80900,0,0.978554,0.0214459,0.948187,1,0.0214459,0.0419913,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.9,71,4452,0,80900,0,0.984302,0.0156975,0.947883,1,0.0156975,0.0309099,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.6,1556,804,29,20827,0.00139049,0.340678,0.659322,0.96412,0.981703,0.659322,0.788847,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.61,1515,845,23,20833,0.0011028,0.358051,0.641949,0.962612,0.985046,0.641949,0.777322,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.62,1456,904,18,20838,0.000863061,0.383051,0.616949,0.960286,0.987788,0.616949,0.75952,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.63,1396,964,14,20842,0.00067127,0.408475,0.591525,0.957874,0.990071,0.591525,0.740584,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.64,1351,1009,12,20844,0.000575374,0.427542,0.572458,0.956022,0.991196,0.572458,0.725759,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.65,1295,1065,9,20847,0.00043153,0.451271,0.548729,0.953739,0.993098,0.548729,0.706878,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.66,1244,1116,5,20851,0.000239739,0.472881,0.527119,0.951714,0.995997,0.527119,0.689388,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.67,1194,1166,4,20852,0.000191791,0.494068,0.505932,0.949604,0.996661,0.505932,0.671164,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.68,1123,1237,4,20852,0.000191791,0.524153,0.475847,0.946545,0.996451,0.475847,0.644107,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.69,1071,1289,3,20853,0.000143843,0.546186,0.453814,0.944349,0.997207,0.453814,0.623762,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.7,1013,1347,3,20853,0.000143843,0.570763,0.429237,0.94185,0.997047,0.429237,0.600118,0.0783923,0.294096
REAL DATA,face,raw_embedding,raw_cosine,>=,development,2360,20856,0.71,951,1409,2,20854,9.58957e-05,0.597034,0.402966,0.939223,0.997901,0.402966,0.574102,0.0783923,0.294096
